age,income,gender,target
56,82733,0,0
46,95318,1,1
32,119474,1,1
60,53664,1,1
25,97172,0,0
38,115616,1,0
56,56736,0,1
36,30854,1,1
40,68623,0,0
28,37392,0,1
28,85680,1,1
41,76717,0,0
53,117092,1,1
57,80859,1,0
41,56309,1,0
20,117455,0,0
39,93734,0,0
19,100467,1,0
41,82662,1,0
61,42688,0,0
47,55342,1,1
55,67157,1,0
19,97863,1,0
38,82083,0,1
50,95733,0,1
29,119045,0,1
39,64698,1,0
61,110623,1,1
42,52671,1,0
44,55184,0,0
59,72107,1,0
45,116202,1,0
33,81663,1,1
32,45708,1,1
64,79811,0,0
61,32811,0,0
20,86250,1,0
54,102082,0,1
24,64754,0,0
38,41411,1,0
26,32911,1,1
56,97270,0,1
35,113763,1,0
21,38680,0,1
42,114896,1,1
31,113879,0,0
26,101295,1,1
43,118614,0,0
19,41111,0,1
37,67504,0,0
45,31802,1,0
64,38155,0,0
24,103656,0,1
61,69384,1,0
25,77254,1,1
64,51918,0,0
52,115981,0,0
31,90713,1,1
34,60306,1,0
53,46646,1,0
57,76843,1,1
21,46371,1,0
19,107371,0,0
23,32049,1,0
59,61616,0,0
21,50932,0,1
46,59855,0,1
35,91434,1,0
43,102694,0,1
61,73016,0,0
51,37400,1,1
27,72642,0,0
53,45151,0,0
31,81407,1,0
48,96690,0,0
32,34499,0,0
25,36295,0,0
31,89040,1,1
40,42183,1,0
57,59299,1,1
38,42874,0,0
33,62711,0,1
62,35539,1,1
35,83351,0,1
64,91267,0,0
41,78354,1,0
43,32557,1,1
42,68360,0,0
62,112018,0,1
58,32200,0,0
46,98497,1,1
32,76975,1,1
62,51357,1,0
18,107505,1,1
42,32869,0,0
24,91135,1,1
26,80108,1,1
41,68467,1,0
18,53328,1,0
61,116831,1,0
25,33987,0,1
41,88871,0,0
28,52399,1,1
34,76214,0,1
25,116416,1,0
52,100271,1,0
52,74064,0,1
50,100091,0,1
22,70818,1,0
59,75525,1,0
56,49830,1,0
58,47429,0,0
45,36893,1,0
24,109909,1,1
26,77333,1,1
25,33436,0,1
29,104290,1,1
51,106213,1,0
50,35895,0,0
40,49738,1,0
41,60746,1,1
54,79377,0,1
52,78404,1,0
61,84045,0,0
57,69790,0,1
39,35600,1,1
44,70764,1,0
52,104543,1,0
18,75714,1,1
52,86835,0,0
54,103744,1,0
64,86491,0,0
31,48589,1,1
20,73484,1,1
18,112989,1,1
22,66212,0,1
43,73525,1,1
31,77202,1,1
56,62635,1,1
44,93208,1,0
26,63828,0,0
32,48711,1,0
32,33420,0,0
43,30301,0,0
59,75236,0,0
30,96235,0,0
49,84240,0,1
56,95726,0,1
49,40492,1,0
21,36102,0,0
47,80336,0,1
54,115314,0,0
40,56641,1,0
56,64584,1,1
62,62745,0,0
32,53093,1,1
60,96105,0,0
46,81885,0,1
53,66631,1,1
30,102991,0,1
49,34014,1,0
24,41093,1,1
39,48070,0,0
45,65777,0,0
19,86958,1,0
59,112074,0,0
62,40729,0,1
23,75017,0,1
45,96320,1,0
45,57751,1,0
61,108069,0,1
61,84748,1,0
37,35801,1,1
47,49190,1,0
28,79689,1,0
45,80993,1,1
42,59592,0,0
56,40647,0,1
50,38716,0,0
18,118891,1,0
44,117545,1,0
30,119912,0,1
58,100316,1,0
20,32368,0,0
56,107575,0,0
23,36655,0,0
25,100031,1,1
44,106429,1,1
26,117922,0,0
54,85766,0,1
50,43403,0,0
59,62097,0,0
61,108657,1,0
41,40966,1,1
32,82921,0,1
49,79726,0,1
49,80300,1,1
41,52677,1,1
58,85609,0,1
29,86661,0,1
